,Author,first,ID,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
138,Sultana,Razvan,7003383527,0,0,0,3,4,4,0,5,1,0,1,1,2,0,3,2,0,2,1,0,1,5,7,9
139,Sánchez-Caballero,Ignacio,57188953395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,Tassinari,Ania,57224074388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,Tchantouridze,Elizabeth,57218870010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,Van,Der Velde,55484694200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,2,1
143,Vardarajan,Badri,24485728500,0,0,0,0,0,0,0,0,0,0,1,0,1,5,6,5,7,13,11,5,15,10,9,5
144,Wang,Zhe,57203894757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
145,Wiehe,Kevin,8641549200,0,0,0,0,1,0,0,2,0,3,0,1,0,1,0,2,7,3,4,11,6,8,8,11
146,Yanai,Itai,6603786498,0,0,1,3,4,3,3,5,2,0,1,2,1,2,6,4,4,4,5,6,4,6,9,10
147,Zhang,Yuqing,57202223805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
148,Zhao,Yue,57200691170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2
149,Zheng,Yu,56150078400,0,0,0,0,2,1,3,2,0,1,0,1,1,6,5,2,6,5,2,0,2,1,1,5
151,Anton,Brian,7004980579,0,0,0,0,0,0,3,1,0,0,2,4,1,1,2,3,3,3,5,3,2,6,2,7
152,Atherton,Kathryn,57223193937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,Azizi,Elham,55779242100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,3,1,2
154,Beane,Jennifer,6701403096,0,0,0,1,0,0,5,1,2,2,2,2,0,1,1,0,0,2,4,2,0,6,1,6
155,Becker,Elizabeth,57210447195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
156,Bohnuud,Tanggis,55325409400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,4,0,1,0,1
157,Brenke,Ryan,14629955500,0,0,0,0,0,0,0,0,1,2,1,5,1,1,3,0,0,0,0,0,0,0,0,0
158,Briars,Emma,57197854631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
159,Briers,Demarcus,57193094915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
160,Chang,Yi,35214454100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,2,0,0,0,0,0
161,Chevalier,Aaron,56708233400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,1
162,Collins,Sara,55385437100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
163,Cui,Jike,36808172300,0,0,0,0,0,0,0,1,1,3,4,2,5,2,1,0,1,0,0,0,0,0,0,0
164,Dimucci,Demetrius,57218937397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
165,Driscoll,Michael,9637832700,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Dumitriu,Alexandra,35101901700,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,0,1,0,3,0,2,1,0,0
167,Federico,Anthony,57209908343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
168,Flanigon,James,26531013600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
169,Fu,Yu,57193354260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2
170,Fu,Yutao,7404433553,0,0,0,0,0,1,6,2,2,7,2,2,4,4,0,0,0,0,1,0,0,0,0,1
171,Fusaro,Vincent,6603308224,0,0,0,0,2,3,3,1,1,0,0,1,6,1,1,2,1,1,0,1,0,0,0,1
172,Gindin,Yevgeniy,37109684600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1,0,1,0,1,2
173,Gomes,Antonio,55620529100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,2,4,0,2,3,6,5
174,Hackett,William,57218773320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
175,Hansen,Loren,57206609824,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,1,0,2,3,2,1,0,1
176,Hayete,Boris,8251882000,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1,2,1,0,1,0
177,Hu,Han,55369456000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,0,1,0
178,Jacobs,Christopher,57195941777,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,2,4
179,Kar,Amrita,57381746700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,Karagiannis,Tanya,57209908566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
181,Karri,Kritika,57188697800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0
